1	2	16
1	5	14
1	6	19
1	9	2
1	10	12
1	14	6
1	16	5
1	17	4
1	19	9
1	24	9
1	25	11
1	31	16
1	33	20
1	36	19
1	41	18
1	45	15
1	47	6
1	54	15
2	1	38
2	3	36
2	4	3
2	5	17
2	8	10
2	10	17
2	16	16
2	17	10
2	23	9
2	28	6
2	41	3
2	42	14
2	44	4
2	48	13
2	49	7
2	50	9
2	52	16
2	57	14
2	59	7
3	1	4
3	2	18
3	4	8
3	19	3
3	34	1
3	35	1
3	36	1
3	50	6
3	51	8
3	57	12
4	3	3
4	5	14
4	6	7
4	7	6
4	23	17
4	24	6
4	30	4
4	47	14
4	51	7
4	52	9
4	53	2
4	59	10
5	4	40
5	6	1
5	12	6
5	15	3
5	24	13
5	26	15
5	30	20
5	39	12
5	42	20
5	45	1
5	49	16
5	50	2
5	53	18
5	57	1
6	3	15
6	5	4
6	7	16
6	12	2
6	14	1
6	18	14
6	25	18
6	27	15
6	28	7
6	41	9
6	47	8
6	48	11
6	51	20
6	52	18
7	4	19
7	6	16
7	8	16
7	11	11
7	14	5
7	16	14
7	17	1
7	22	11
7	26	6
7	30	1
7	34	11
7	35	13
7	39	14
7	40	19
7	42	13
7	52	14
7	58	2
8	2	7
8	5	16
8	6	8
8	7	9
8	9	24
8	14	7
8	18	13
8	21	11
8	23	18
8	26	11
8	28	16
8	30	8
8	31	16
8	32	13
8	33	10
8	34	11
8	36	3
8	40	20
8	58	13
9	8	17
9	10	8
9	12	11
9	18	11
9	19	16
9	20	14
9	28	4
9	33	15
9	43	4
9	45	10
9	47	10
9	48	16
9	51	7
9	57	2
9	59	3
9	60	4
10	4	11
10	6	8
10	9	4
10	11	2
10	15	11
10	21	14
10	29	8
10	31	4
10	36	18
10	39	20
10	40	15
10	41	2
10	48	18
10	49	6
10	52	19
10	54	8
10	55	7
10	57	15
10	59	11
11	9	10
11	10	15
11	12	3
11	16	3
11	24	6
11	25	11
11	32	2
11	33	18
11	34	9
11	35	2
11	36	10
11	39	5
11	40	12
11	41	7
11	46	7
11	47	12
11	52	4
11	54	17
12	2	16
12	11	15
12	13	18
12	16	8
12	17	8
12	18	15
12	22	15
12	23	19
12	30	10
12	37	9
12	42	20
12	43	4
12	46	18
12	54	17
13	12	3
13	14	14
13	22	7
13	23	16
13	25	16
13	26	16
13	29	15
13	32	20
13	35	17
13	39	5
13	43	13
13	45	4
13	57	3
13	60	3
14	2	2
14	5	1
14	12	4
14	13	8
14	15	40
14	23	11
14	26	13
14	29	18
14	32	9
14	33	13
14	37	17
14	40	19
14	52	6
14	54	9
14	56	8
14	59	7
14	60	7
15	4	11
15	5	10
15	7	2
15	14	13
15	16	8
15	17	20
15	19	5
15	22	18
15	24	7
15	30	12
15	31	7
15	36	15
15	42	11
15	43	8
15	51	6
15	53	4
15	59	5
16	3	2
16	15	22
16	17	10
16	27	2
16	29	19
16	32	11
16	37	8
16	41	9
16	44	7
16	49	7
16	54	17
16	56	20
16	57	8
17	4	4
17	10	3
17	16	16
17	18	6
17	24	9
17	29	14
17	35	8
17	36	16
17	40	5
17	42	6
17	47	18
17	50	1
17	56	16
18	7	5
18	9	13
18	11	16
18	13	20
18	14	15
18	17	14
18	19	20
18	22	3
18	23	3
18	28	14
18	29	5
18	38	2
18	40	16
